features,final_ranking_points,final_ranking
onehot__x2_0,2153,413
onehot__x4_500.0,2159,414
POBP,2159,415
onehot__x4_4965.0,2160,416
onehot__x4_6320.0,2168,417
COW,2168,418
onehot__x4_3945.0,2175,419
onehot__x4_6720.0,2187,420
onehot__x4_7560.0,2188,421
onehot__x4_7010.0,2201,422
onehot__x4_2105.0,2203,423
onehot__x4_2160.0,2210,424
onehot__x4_9300.0,2212,425
onehot__x4_4830.0,2218,426
onehot__x4_8810.0,2219,427
onehot__x4_8040.0,2219,428
onehot__x4_5330.0,2225,429
onehot__x4_6520.0,2225,430
onehot__x4_7210.0,2235,431
onehot__x4_7300.0,2236,432
onehot__x4_2630.0,2238,433
onehot__x4_7900.0,2243,434
onehot__x4_8330.0,2246,435
onehot__x4_310.0,2251,436
onehot__x4_2145.0,2251,437
onehot__x4_5340.0,2252,438
onehot__x4_1600.0,2257,439
onehot__x4_6765.0,2258,440
onehot__x4_4465.0,2271,441
onehot__x4_2050.0,2278,442
onehot__x4_4700.0,2282,443
onehot__x4_7130.0,2285,444
onehot__x4_3820.0,2285,445
onehot__x4_7160.0,2287,446
onehot__x4_2320.0,2290,447
onehot__x4_5530.0,2290,448
onehot__x4_5150.0,2291,449
onehot__x4_2710.0,2292,450
onehot__x4_7110.0,2293,451
onehot__x4_4210.0,2313,452
onehot__x4_7150.0,2320,453
onehot__x4_6740.0,2323,454
onehot__x4_1910.0,2326,455
onehot__x4_6400.0,2326,456
onehot__x4_6120.0,2327,457
onehot__x4_3300.0,2331,458
onehot__x4_1860.0,2338,459
onehot__x4_4940.0,2340,460
onehot__x4_5250.0,2344,461
onehot__x4_340.0,2346,462
onehot__x4_2860.0,2354,463
onehot__x4_2920.0,2359,464
onehot__x4_8730.0,2359,465
onehot__x4_7830.0,2360,466
onehot__x4_8650.0,2365,467
onehot__x4_6355.0,2377,468
onehot__x4_8140.0,2387,469
onehot__x4_7350.0,2404,470
onehot__x4_3730.0,2405,471
onehot__x4_6820.0,2408,472
onehot__x4_9415.0,2417,473
onehot__x4_2400.0,2421,474
onehot__x4_3000.0,2421,475
onehot__x4_2010.0,2428,476
onehot__x4_3120.0,2429,477
onehot__x4_7940.0,2431,478
onehot__x4_5030.0,2434,479
onehot__x4_8740.0,2436,480
onehot__x4_6940.0,2439,481
onehot__x4_6460.0,2446,482
onehot__x4_6660.0,2446,483
onehot__x4_940.0,2447,484
onehot__x4_2900.0,2474,485
onehot__x4_5360.0,2476,486
onehot__x4_7340.0,2478,487
onehot__x4_9830.0,2479,488
onehot__x4_5140.0,2488,489
onehot__x4_3700.0,2500,490
onehot__x4_8030.0,2509,491
onehot__x4_8620.0,2510,492
onehot__x4_3535.0,2527,493
onehot__x4_7040.0,2527,494
onehot__x4_8930.0,2528,495
onehot__x4_2750.0,2528,496
onehot__x4_2720.0,2528,497
onehot__x4_3510.0,2533,498
onehot__x4_2340.0,2544,499
onehot__x4_2000.0,2551,500
onehot__x4_4200.0,2560,501
onehot__x4_6440.0,2563,502
onehot__x4_2430.0,2566,503
onehot__x4_2830.0,2579,504
onehot__x4_2850.0,2590,505
onehot__x4_3850.0,2627,506
